hate,palabra
0,!!!
0,RT
0,@mayasolovely:
0,As
0,a
0,woman
0,you
0,shouldn't
0,complain
0,about
0,cleaning
0,up
0,your
0,house.
0,&amp;
0,as
0,a
0,man
0,you
0,should
0,always
0,take
0,the
0,trash
0,out...
0,!!!!!
0,RT
0,@mleew17:
0,boy
0,dats
0,cold...tyga
0,dwn
0,bad
0,for
0,cuffin
0,dat
0,hoe
0,in
0,the
0,1st
0,place!!
0,!!!!!!!
0,RT
0,@UrKindOfBrand
0,Dawg!!!!
0,RT
0,@80sbaby4life:
0,You
0,ever
0,fuck
0,a
0,bitch
0,and
0,she
0,start
0,to
0,cry?
0,You
0,be
0,confused
0,as
0,shit
0,!!!!!!!!!
0,RT
0,@C_G_Anderson:
0,@viva_based
0,she
0,look
0,like
0,a
0,tranny
0,!!!!!!!!!!!!!
0,RT
0,@ShenikaRoberts:
0,The
0,shit
0,you
0,hear
0,about
0,me
0,might
0,be
0,true
0,or
0,it
0,might
0,be
0,faker
0,than
0,the
0,bitch
0,who
0,told
0,it
0,to
0,ya
0,&#57361;
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x:"
1,The
1,shit
1,just
1,blows
1,me..claim
1,you
1,so
1,faithful
1,and
1,down
1,for
1,somebody
1,but
1,still
1,fucking
1,with
1,hoes!
1,"&#128514;&#128514;&#128514;"""
0,"!!!!!!""@__BrighterDays:"
0,I
0,can
0,not
0,just
0,sit
0,up
0,and
0,HATE
0,on
0,another
0,bitch
0,..
0,I
0,got
0,too
0,much
0,shit
0,going
0,"on!"""
0,!!!!&#8220;@selfiequeenbri:
0,cause
0,I'm
0,tired
0,of
0,you
0,big
0,bitches
0,coming
0,for
0,us
0,skinny
0,girls!!&#8221;
0,""""
0,&amp;
0,you
0,might
0,not
0,get
0,ya
0,bitch
0,back
0,&amp;
0,thats
0,that
0,""""
1,""""
1,@rhythmixx_
1,:hobbies
1,include:
1,fighting
1,"Mariam"""
1,bitch
0,""""
0,Keeks
0,is
0,a
0,bitch
0,she
0,curves
0,everyone
0,""""
0,lol
0,I
0,walked
0,into
0,a
0,conversation
0,like
0,this.
0,Smh
0,""""
0,Murda
0,Gang
0,bitch
0,its
0,Gang
0,Land
0,""""
0,""""
0,So
0,hoes
0,that
0,smoke
0,are
0,losers
0,?
0,""""
0,yea
0,...
0,go
0,on
0,IG
0,""""
0,bad
0,bitches
0,is
0,the
0,only
0,thing
0,that
0,i
0,like
0,""""
1,""""
1,bitch
1,get
1,up
1,off
1,me
1,""""
0,""""
0,bitch
0,nigga
0,miss
0,me
0,with
0,it
0,""""
0,""""
0,bitch
0,plz
0,whatever
0,""""
1,""""
1,bitch
1,who
1,do
1,you
1,love
1,""""
0,""""
0,bitches
0,get
0,cut
0,off
0,everyday
0,B
0,""""
0,""""
0,black
0,bottle
0,&amp;
0,a
0,bad
0,bitch
0,""""
0,""""
0,broke
0,bitch
0,cant
0,tell
0,me
0,nothing
0,""""
0,""""
0,cancel
0,that
0,bitch
0,like
0,Nino
0,""""
0,""""
0,cant
0,you
0,see
0,these
0,hoes
0,wont
0,change
0,""""
0,""""
0,fuck
0,no
0,that
0,bitch
0,dont
0,even
0,suck
0,dick
0,""""
0,&#128514;&#128514;&#128514;
0,the
0,Kermit
0,videos
0,bout
0,to
0,fuck
0,IG
0,up
0,""""
0,got
0,ya
0,bitch
0,tip
0,toeing
0,on
0,my
0,hardwood
0,floors
0,""""
0,&#128514;
