id tweet,author,palabra
1567171192028635143,@virg_160,que
1567178744703369221,@marinagt2,de
1567306307392126976,@nell13954509,@jmhgomez1
1567272967494590466,@felixacostas21,🪷
1567237448530333697,@87punto3,|
1567310747608223744,@josecar04371347,@quiskillosa
1567307355859075073,@agatadibo1,de
1567143484326289409,@diari_opina,#chile
1567129864062308354,@commadridmr,recuerda
1567287060557451265,@johanal58455745,@nanunsc2
1567154802152378370,@alasribon,@mincultura
1567272150540615680,@raul28158,@diarioveahoy:
1567117317741346822,@drluisg_iu,hace
1567351646782455809,@mtroluismloera,cartones
1567174855044304898,@paucersosimo,#buendía
1567295850358996997,@yesy_velazquez,en
1567162018934702082,@lacuban02311131,tú?#cubaporlavida
1567301829804843010,@wrdcoronado,pero
1567197976052858880,@tierra100able_,tenemos
1567158302840086528,@tuiteroactivo13,imponer
1567166805386444801,@saixmi,y
1567210175706152960,@traselvalle_obc,@jjaranaz94:
1567137900038340609,@llinamarti,https://t.co/pz91fgtlhh
1567211104551452675,@traselvalle_obc,"""la"
1567104374165356545,@vicky_5667_,➡️
1567195272899448836,@elhoroscopodel1,síguenos
1567211442004279297,@traselvalle_obc,las
1567127660597334016,@borjaherb7,la
1567164753293840384,@evelisvargas,rt
1567129182395588608,@aztlanazul,#amlo
1567126537643905029,@bejerano_adrian,portada
1567111361301192705,@poetikas1,es
1567180751271088128,@juancabailero,@notepierdasesto:
1567195926023655424,@autobildmexico,son
1567198598852448258,@puestadelsolcp,@islacortes
1567264132923101184,@yuleinys0304,determina
1567208022245613568,@kali1573,❤️
1567120668793401345,@pilardonosog,ayudas
1567410889573257217,@conchaper960,libertad
1567200339052433410,@rosamria,a
1567194359203782658,@davidra2207,las
1567186721271324678,@kekissmx,de
1567462042734399488,@alejandroabajo1,#herederosdellibertador
1567121866468347906,@anagarc35245657,necesidad
1567196923127267329,@erickm39891486,familias.
1567098925714231296,@peneidaman,da
1567195748470595584,@maurennch,@sergiofimbres:
1567255086312685569,@soy_susy_sonrie,al
1567135544315879424,@traselvalle_obc,cuestiones-
1567161210256097280,@aoifearias,https://t.co/pxllwreyoo
1567133069651361792,@natabal1,-1943
1567230332130279426,@_0_booom_6996,#felizmartes
1567136831799529473,@gomez_eduardo,@alvaro_delgado
1567209809123868674,@whore_80,con
1567194629841248259,@barrocopardo2,❤️💛💜
1567239472227442694,@traselvalle_obc,@jjaranaz94
1567176549635334146,@conchycdc,#quetevotetxapote
1567489775866712064,@maangelicamend5,estarías
1567099136490762241,@damaso_vega,#ensenada
1567144027358740482,@ariagnapavong,todas
1567122276113342466,@panchoherrera1,buen
1567249887091122177,@camille196059,https://t.co/k2uovqzzjz
1567123744728182784,@clubdeamigosde3,#elvispresley
1567103356761505799,@vicky_5667_,para
1567163518172164096,@soylamonarisas,bonita!
1567255269939216386,@selencancino,https://t.co/vx9ai3vtjx
1567262415997353985,@presuntamente,importa.
1567213992875098117,@juancin62884213,yo
1567122379759058946,@tumundoadiario,#diarioelmundo
1567163690998288389,@jjaranaz94,@traselvalle_obc
1567158555660140544,@wpacolo,sigue
1567321719542611968,@monilordmendez3,es
1567104531292364802,@its_danielito16,de
1567174687494475783,@logicasadcr,venezuela
1567323393137037314,@elobo47,@maguilarhurtado:
1567186163668058113,@libreriarius,de
